Instance_name	Avg_power	Pin_x	Pin_y	VDD_drop	Net_name
U2657	1.03338e-05	10.816	24.944	0.878761	VDD
ctmTdsLR_1_1591	1.21855e-05	17.106	3.3	0.87806	VDD
U2660	9.9e-06	38.751	36.9	0.878904	VDD
U2661	5.01866e-06	33.719	33.3	0.87878	VDD
U2662	1.30037e-05	35.125	36.9	0.878552	VDD
ZCTSBUF_1551_7127	8.51041e-05	17.809	40.5	0.878314	VDD
ctmTdsLR_1_1983	7.60872e-06	25.32	34.5	0.878495	VDD
ZCTSBUF_1098_7128	0.000103497	13.665	39.3	0.877503	VDD
U2675	1.08446e-05	10.557	17.7	0.878671	VDD
U2677	7.86926e-06	23.877	28.5	0.877746	VDD
U2679	1.28495e-05	32.831	26.1	0.878676	VDD
U2680	1.47917e-05	32.461	26.1	0.878676	VDD
U2681	9.3793e-06	34.459	26.1	0.878615	VDD
U2682	1.23097e-05	33.719	26.1	0.878669	VDD
U2683	1.94652e-05	38.048	4.5	0.878982	VDD
U2684	2.01193e-05	35.495	10.5	0.878107	VDD
ctmTdsLR_2_1829	2.08205e-05	17.254	18.9	0.878197	VDD
ctmTdsLR_1_8221	1.14543e-05	46.817	36.9	0.879283	VDD
U2691	5.27001e-06	39.121	30.9	0.878279	VDD
ctmTdsLR_1_1678	1.22602e-05	9.299	35.7	0.878461	VDD
U2696	1.97599e-05	19.178	17.7	0.878364	VDD
U2702	1.35912e-05	32.091	27.3	0.878402	VDD
U2705	7.5515e-06	11.26	18.9	0.878238	VDD
U2707	6.79612e-06	8.189	8.1	0.878666	VDD
U2708	1.69153e-05	10.52	10.5	0.878617	VDD
U2713	7.30726e-06	14.405	17.7	0.878689	VDD
ctmTdsLR_1_2025	2.25531e-05	37.382	23.7	0.878382	VDD
U2718	1.62748e-05	36.864	16.5	0.878693	VDD
U2722	1.45352e-05	6.785	33.3	0.878574	VDD
U2727	1.59959e-05	24.284	28.5	0.877741	VDD
U2729	1.22095e-05	1.973	9.3	0.87895	VDD
ctmTdsLR_1_1652	5.88783e-06	15.367	36.9	0.878419	VDD
U2743	6.55636e-06	29.464	6.9	0.878284	VDD
U2744	2.38031e-05	4.008	11.7	0.87889	VDD
U2748	1.57104e-05	45.82	41.7	0.878977	VDD
U2749	6.83439e-06	8.67	10.5	0.878751	VDD
ctmTdsLR_1_8287	2.9484e-05	13.554	27.3	0.877112	VDD
U2752	4.62722e-06	38.418	3.3	0.879054	VDD
U2753	1.72735e-06	38.788	15.3	0.878793	VDD
U2757	7.90928e-06	46.9285	14.1	0.878965	VDD
U2758	1.31469e-05	39.195	15.3	0.878775	VDD
U2759	6.90381e-06	7.486	3.3	0.87887	VDD
U2762	3.20549e-06	2.158	6.9	0.879362	VDD
U2763	1.15293e-05	40.046	16.5	0.878925	VDD
U2764	6.7575e-06	25.172	33.3	0.878547	VDD
U2766	1.30676e-05	27.688	8.1	0.878139	VDD
U2768	7.99475e-06	47.742	39.3	0.879329	VDD
ctmTdsLR_1_1800	1.20633e-05	37.9	40.5	0.878628	VDD
ctmTdsLR_1_8326	2.1009e-05	35.162	4.5	0.878842	VDD
U2772	1.15827e-05	49.8135	8.1	0.87924	VDD
U2773	5.35093e-06	49.9625	8.1	0.87924	VDD
U2774	6.77071e-06	45.892	5.7	0.879329	VDD
